model,dataset,num_hidden,val_loss,val_acc,test_loss,test_acc,activation,distance
node_SOGNN,pubmed,1,1.0554,0.766,1.1054,0.739,ELU,3
node_SOGNN,pubmed,2,1.0606,0.792,1.0957,0.757,ELU,3
node_SOGNN,pubmed,3,0.9692,0.79,1.0611,0.75,ELU,3
node_SOGNN,pubmed,5,1.0593,0.77,1.1107,0.759,ELU,3
node_SOGNN,pubmed,6,1.0242,0.776,1.0877,0.76,ELU,3
node_SOGNN,pubmed,8,1.1016,0.196,1.1016,0.18,ELU,3
node_SOGNN,pubmed,10,1.089,0.416,1.0881,0.407,ELU,3
node_SOGNN,pubmed,1,1.0271,0.766,1.09,0.742,ELU,4
node_SOGNN,pubmed,2,1.06,0.784,1.1035,0.755,ELU,4
node_SOGNN,pubmed,3,1.0148,0.784,1.0841,0.767,ELU,4
node_SOGNN,pubmed,5,1.0383,0.766,1.1017,0.743,ELU,4
node_SOGNN,pubmed,6,1.0038,0.748,1.1062,0.708,ELU,4
node_SOGNN,pubmed,8,1.0786,0.388,1.0753,0.413,ELU,4
node_SOGNN,pubmed,10,1.1161,0.196,1.115,0.18,ELU,4
node_SOGNN,pubmed,1,1.0743,0.766,1.1246,0.735,ELU,5
node_SOGNN,pubmed,2,1.1311,0.77,1.1725,0.752,ELU,5
node_SOGNN,pubmed,3,1.0638,0.792,1.1085,0.768,ELU,5
node_SOGNN,pubmed,5,1.2,0.758,1.267,0.734,ELU,5
node_SOGNN,pubmed,6,1.4174,0.724,1.558,0.682,ELU,5
node_SOGNN,pubmed,8,1.0933,0.388,1.0908,0.413,ELU,5
